model,channel,gap_nm,gain_fixed,gain_optimized,shift_over_gamma0,width_over_gamma0,threshold_uJ_cm2,threshold_status,weak_pulse_population_gain,delta_spectrum,delta_threshold
fqs,side_trans_tangential,0.5,0.14259834602157462,0.15619120139017517,-0.15780770899469615,1.023744075206842,,right_censored,0.16019285666717767,0.941945635649374,
fqs,side_trans_tangential,0.75,0.18889330033590776,0.1983178882514533,-0.11333325828417823,1.0171602305507712,,right_censored,0.20200389611467467,0.86441879243792,
fqs,side_trans_tangential,1.0,0.23379707661448157,0.2401267709412521,-0.08346112912480926,1.0128347231150117,,right_censored,0.2435387836191248,0.7629149088150281,
fqs,side_trans_tangential,1.5,0.31759920435189365,0.32039013130647653,-0.048179519492462394,1.007619582338517,190.4604428868932,resolved_refined,0.3232178595459363,0.575307730012709,
fqs,side_trans_tangential,2.0,0.392723943675039,0.39401614597660234,-0.02974964204897354,1.0047472786736587,155.47328755374596,resolved_refined,0.39623595601347855,0.43288808745854823,
fqs,side_trans_tangential,3.0,0.518046297407613,0.518046297407613,-0.012936417990671542,1.0026066470827477,118.60723534979486,resolved_refined,0.5197376393476404,0.2541586252610042,0.34113031831113577
fqs,side_trans_tangential,5.0,0.6891902683397462,0.6891902683397462,-0.00352009027039411,1.0005696348396529,89.39522558048272,resolved_refined,0.6898225861985127,0.10196882519346993,0.11353194889719376
fqs,side_trans_tangential,7.0,0.7913986608047948,0.7913986608047948,-0.0012816789252788976,1.0001971760248014,77.89591601221674,resolved_refined,0.7917158804559383,0.04756551525249491,0.04991602748277285
fqs,side_trans_tangential,10.0,0.8769080776514333,0.8769080776514333,-0.0003891295704300278,1.0000555982220996,70.31799685769384,resolved_refined,0.877054817999137,0.018296450063466543,0.018625186248506943
fqs,side_trans_tangential,12.0,0.9098558774734145,0.9098558774734145,-0.00020348452384889247,1.0000273446998025,67.77581183555355,resolved_refined,0.9099534939260041,0.010585778504777064,0.010691686945219055
